
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
88:DE:7C:AB:05:EF, 2022-03-02 10:32:48, 2022-03-02 10:33:03,  6, 130, WPA2, CCMP, PSK, -68,       12,        2,   0.  0.  0.  0,   9, Alejandro, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A4:07:B6:C7:35:28, 2022-03-02 10:33:06, 2022-03-02 10:33:06, -82,        1, (not associated) ,
0A:4B:73:69:AD:AB, 2022-03-02 10:33:03, 2022-03-02 10:33:03, -78,        2, A4:08:F5:16:AD:4E,
2A:ED:BD:7F:D2:9D, 2022-03-02 10:33:01, 2022-03-02 10:33:01, -76,        1, (not associated) ,
50:3E:AA:5A:57:F9, 2022-03-02 10:33:02, 2022-03-02 10:33:05, -76,        8, 84:D8:1B:37:46:A4,
5A:D4:A0:77:E6:E5, 2022-03-02 10:33:04, 2022-03-02 10:33:04, -76,        2, (not associated) ,
00:15:6D:9C:78:8F, 2022-03-02 10:32:44, 2022-03-02 10:33:01, -74,        8, (not associated) ,ubnt
AE:3B:AD:7E:E6:D4, 2022-03-02 10:32:45, 2022-03-02 10:32:45, -74,        5, (not associated) ,
2E:AB:F7:36:43:18, 2022-03-02 10:32:58, 2022-03-02 10:32:58, -74,        1, (not associated) ,
32:CB:3F:A7:4E:BB, 2022-03-02 10:32:48, 2022-03-02 10:32:48, -70,        1, (not associated) ,
1A:B6:70:66:CE:8A, 2022-03-02 10:32:51, 2022-03-02 10:32:51, -68,        1, (not associated) ,
CA:51:48:98:7D:D7, 2022-03-02 10:32:55, 2022-03-02 10:32:55, -66,        3, (not associated) ,
FF:FF:FF:FF:FF:FF, 2022-03-02 10:32:49, 2022-03-02 10:32:56, -66,      640, 88:DE:7C:AB:05:EF,
EE:7F:BB:77:44:15, 2022-03-02 10:33:02, 2022-03-02 10:33:02, -66,        1, 88:DE:7C:AB:05:EF,
48:27:EA:92:02:1B, 2022-03-02 10:32:47, 2022-03-02 10:32:47, -64,        3, (not associated) ,Telecentro-d9b0
58:82:A8:47:C9:E6, 2022-03-02 10:33:03, 2022-03-02 10:33:03, -60,        2, F8:08:4F:3C:98:F3,
86:D8:1B:07:46:A4, 2022-03-02 10:32:49, 2022-03-02 10:33:03, -48,        2, F4:6B:EF:D3:ED:3B,
8C:F1:12:BA:8F:AC, 2022-03-02 10:33:02, 2022-03-02 10:33:02,  -1,       11, 58:2F:F7:9B:36:19,
48:60:5F:1F:1F:B0, 2022-03-02 10:33:03, 2022-03-02 10:33:03,  -1,        1, F4:6B:EF:D3:ED:3B,

